ID,Measure Body Length,Length (mm),Measure Eye Diameter,Eye size (mm),Measure Dorsal Fin Anterior Maximum,Measure Dorsal Fin Minimum,Measure Dorsal Fin Posterior Maximum,Fin indentation ratio,Measure Yolk Width,Measure Yolk Height,Yolk volume (mm2),Jaw gape (um),body weight,yolk weight,total weight,% yolk weight,treatment group,age,,,,,,
F123-1,14822.05738,14.82205738,1086.139052,,401.6543635,219.4279571,533.3180188,0.469378479,1142.771522,609.3621435,2.187682965,1.183293556,1.2,0,1.2,0,8,14,,,,,,
F123-2,14148.59159,14.14859159,966.3978389,,308.2667656,209.4426717,429.066075,0.568108892,1610.913136,788.2321362,3.989107738,1.06916996,1.59,0,1.59,0,8,14,,,,,,
F126-1,14599.27651,14.59927651,1017.918701,,402.1335808,255.1410307,434.3147848,0.610058053,1407.21597,847.8922877,3.748443301,1.432806324,1.65,0,1.65,0,8,14,,,,,,
F126-2,13491.62349,13.49162349,902.7690771,,386.2987971,281.8502657,496.9193339,0.638234782,1231.973237,753.8649892,2.917724981,1.081027668,1.03,0,1.03,0,8,14,,,,,,
F88-1,14067.52735,14.06752735,1052.806474,,308.6729792,192.6036681,386.0280915,0.554493656,1070.199144,862.6119531,2.900210877,1.001976285,1.48,0,1.48,0,8,14,,,,,,
F88-2,13998.08004,13.99808004,952.5054003,,459.378022,250.1109563,465.4438376,0.540884612,964.9879167,925.2999347,2.805135941,1.06916996,1.37,0,1.37,0,8,14,,,,,,
F88-3,14448.54377,14.44854377,1041.069081,,313.378281,251.5409192,471.3187643,0.641116009,1955.608516,830.8670229,5.104614478,0.954545455,1.28,0,1.28,0,8,14,,,,,,
F93-1,14016.86989,14.01686989,961.0179476,,434.0518701,201.7097227,621.5226747,0.382179968,1402.311376,941.7590094,4.148907446,1.12055336,1.39,0,1.39,0,8,14,,,,,,
F93-2,13673.77198,13.67377198,949.2441799,,311.9683647,234.8066115,483.5820026,0.5902998,1817.139628,1034.880118,5.907828079,1.077075099,1.2,0,1.2,0,8,14,,,,,,
F94-1,15068.15536,15.06815536,1101.845734,,316.8121122,257.377101,483.6425576,0.643077268,687.6036066,976.7353964,2.109913148,1.282608696,1.41,0,1.41,0,8,14,,,,,,
F94-2,13697.96769,13.69796769,981.0434002,,411.0897032,237.9452141,547.6484407,0.496371643,1454.126632,979.0513105,4.472570421,1.179841897,1.4,0,1.4,0,8,14,,,,,,
F96-1,13442.87778,13.44287778,952.9432469,,423.9676845,173.4965897,500.8674636,0.375194628,908.74319,964.7279546,2.754200408,,1.07,0,1.07,0,8,14,,,,,,
F97-1,14813.50898,14.81350898,1028.472227,,351.4734954,346.0677193,423.7887076,0.892775936,1101.457985,860.2004363,2.976576853,1.333992095,1.69,0,1.69,0,8,14,,,,,,
F98-1,13506.67094,13.50667094,1042.490708,,295.3705991,159.7723839,385.8391951,0.469084224,1305.177423,1132.118283,4.642061209,,1.59,0,1.59,0,8,14,,,,,,
F211-11,15359.63355,15.35963355,1056.791138,,388.0655006,231.2213599,633.9130733,0.452497471,1139.898976,802.1502729,2.872576512,1.39522673,1.9,0,1.9,0,8A,14,,,,,,
F211-2,14778.56318,14.77856318,1060.198556,,453.0331687,242.6679163,403.2561979,0.566789512,2104.550035,845.8994373,5.592776925,1.641527446,1.4,0,1.4,0,8A,14,,,,,,
F211-3,14321.14766,14.32114766,1048.02636,,309.002948,142.178332,429.2238334,0.385188768,1899.163009,974.8829009,5.816533069,1.323627685,1.21,0,1.21,0,8A,14,,,,,,
